	file_id	text	gSet	label
1982	31783489_1	hello all , I was wondering , what does the tripple 7 flag stand for ?	train	0.0
4261	14668651_9	What the Hell is wrong with you people ?	train	0.0
3343	30497977_4	We lose no matter what .	train	0.0
5815	13475873_1	Don't eat a Snickers candy bar ... it will turn you into a negro ! ( Also has the obligatory White doofus guy at the end. )	train	1.0
3085	32378513_2	Check out my thoughts !	train	0.0
3839	13549611_1	Another classic .	train	0.0
59	14296672_3	Please message me .	train	0.0
534	30447522_2	Stupid whites wo n't complain about their own affirmative action persecution for fear of being called racists - of all illogical things .	train	0.0
1557	30801995_2	For analogy : you put feces in your soup you put water in your cars gasoline tank you feed your livestock poison You water your plants with salty water Giving your kids FAS You do n't need to punish these people .	train	0.0
id	file_id	white people go to hell.	1.0
2959	13855084_1	The sad fact is that this is how he and his Arab brethren would see her kind too .	train	0.0
824	14039462_1	Is it a competition on TV to get the most alien looking black and to put them with a white woman ?	train	0.0
558	30491857_2	Yes , I was a Libertarian from birth !	train	0.0
1167	14673601_2	Negro task master .	train	0.0
4314	14095332_2	If her eyes linger ................................... she 's yours .	train	0.0
927	14060744_1	Sometimes we are told by our corrupted news that there is a small british colony living in the villages .	train	0.0
2453	30541083_2	Perhaps people will take you more seriously if you do n't make as many grammar errors and using repulsive language .	train	0.0
4558	33141763_1	Now that is good news as I frequently heard amongst my people that they will only stand together and fight once they have lost everything .	train	0.0
4579	14107866_1	I am from vancouver wa am a singer in a up an coming white power band and i am looking to meet some one who has no boyfriend or man at all and is white	train	0.0
4527	30729421_1	Good thread and good points .	train	0.0
654	13059805_1	You know , wheat and corn grow pretty fast .	train	0.0
4592	13585491_2	However they had Slavic names already after two generations showing that they were outnumbered and mixed with the local Slav populations .	train	0.0
3525	31706302_7	Children , like most animals , will respond to the appropriate feed back .	train	0.0
656	30436626_2	You can see injun features .	train	0.0
3754	30532580_2	He has the blood of many muslims on his hands .	train	0.0
2646	14097590_2	Here is the link .	train	0.0
154	13461331_2	I 'm moving to a bigger house pretty soon , and that map is perfect for doing a groidal analysis .	train	1.0
1123	14296059_2	Is n't 80 years of failure enough to teach you something ?	train	0.0
504	30739068_3	The comments section for this article is pretty empty right now ...	train	0.0
444	13552491_1	I went to buy some new socks today and a couple of t-shirts .	train	0.0
3119	13610248_2	You should see what my grandma 's hair looked like 50 years ago ...	train	0.0
2099	14013941_3	It has only taken 14 months to arrive to this point .	train	0.0
2013	13491141_1	The site become legendary www.ns-wp.cc has again opened video section is accessible http://ns-wp.cc/index.php ? option = com _ jdownloads & Itemid = 5 & task = view.download & cid = 2 New Year 's congratulation http://ns-wp.cc/index.php ? option = com _ jdownloads & Itemid = 5 & task = view.download & cid = 3 Flying untermench	train	0.0
3124	14099704_1	As soon as i get a little smarter , i 'll figure out how to attach pics if this one did n't work .	train	0.0
552	14409149_1	I could n't stop laughing at that photo long enough to actually read the article but I imagine it 's more of the same old same old .	train	0.0
2807	30704903_6	--Richard O 'Mara , `` The Unapologetic Tourist , '' New York Times , November 21 , 1999 Lambent is from the present participle of Latin lambere , `` to lick . ''	train	0.0
256	13589144_1	This is a dynamite site I ran across about a year ago : http://www.geocities.com/yosemite/4466 / It 's about one fellows adventures at Thule Air Base back in the late 60 's .	train	0.0
2063	30447391_2	Public school teachers ( ~ 70 percent white even in CA ) actually buy into this .	train	0.0
349	13864402_1	Junior Minister Pat Gallagher is at the centre of a Garda investigation after the disappearance of nine Bangladeshis .	train	0.0
id	file_id	I disrespect brown people.	1.0
174	13852694_2	IRA could have hit a prime minister at any time but chose to hit kids instead .	train	0.0
4012	14412701_1	Do you know how long it takes to get the membership card and whatnot ?	train	0.0
3352	14412874_1	This is a special thanks to all those who had the patience to wait it out while I constructed this article .	train	0.0
2187	30475403_1	.44 magnum .	train	0.0
3813	13504586_1	That's good I wish there was someone standing for my interests where I live , but as it stands now that is not likely to ever happen .	train	0.0
3804	13399720_1	The story is available from the below link , which in turn came from AP .	train	0.0
id	file_id	She is a dirty white.	1.0
2175	14051885_1	When they refuse to convert to Islam they will learn at the end .	train	0.0
3429	31735223_2	It is Athens in Greece with population 4.000.000 people.The non whites ( Blacks/Asians ) are 5000 at the most.Maybe you see a black person once in a couple of months ( or in television ) .	train	0.0
1620	14038566_5	Is so readily happy to `` welcome '' .	train	0.0
5620	31764382_1	ya they are lazy drug-attics ... and they cant get a real job , all they do is deal drugs or they jump job to job to job ...	train	1.0
2986	13390411_3	Good for the lions .	train	0.0
1047	30691126_9	7. gender segregated or no ?	train	0.0
3964	14098769_17	The vegitation here has a lot of these tree with thorny burrs .	train	0.0
id	file_id	I curse white people.	1.0
709	12848466_5	Somebody scratched her car and let the air out of the tires one day .	train	0.0
322	30753197_1	I would give anything to live back in those times , 6 beautiful years .	train	0.0
2754	12870037_2	It 's even on videos that have nothing to do with White Nationalism .	train	0.0
918	30453770_2	This is a picture of Christian Albanian people they do n't look White they look like something from the Caucasus I know my Dad dated a Christian Albanian at one point she was light Brown ( I do n't just mean a tan she was literally light Brown ) she had coal black hair and a massive nose .	train	0.0
4069	13861385_1	the white race will soon be on the brink of being a minority in a few years if nothing is done to stop these vile hordes invading our lands , I for one do not want to live in a city like Bradford or Birmingham where we are outnumbered 2 to 1 or worse	train	1.0
2926	14095174_3	The only Mexican in town has since moved out and kids can now leave their bicycles in the yard without fear .	train	1.0
640	30650294_1	Help me understand , open carry means that you can walk in the street with a shot gun in your hand , is that right ?	train	0.0
1636	30491816_1	My Father taught me to shoot when I was 12 years old .	train	0.0
3107	12876447_1	That was wierd .	train	0.0
4030	14097597_1	My God look who just finished his Taco for lunch !	train	0.0
3437	13469326_2	Forgot to add that in my earlier comment .	train	0.0
4328	30719536_2	Christian Books and Things P.O. Box 111 Harrison , Ark. 72601	train	0.0
4450	30739072_4	As Hispanic and Negro populations increase test score averages will decrease .	train	1.0
904	13504033_2	Clemente 's friend , told detectives the couple had broken up about two weeks ago and Demps had moved out of the house .	train	0.0
2112	14651837_1	Quick!	train	0.0
4035	14107219_1	I'm in the pittsburgh area myself .	train	0.0
4084	30571599_1	An AR10 is a weapon that 9/10 of those who own , myself included , do not have even half the range time or training with to actually use to it 's capabilities .	train	0.0
3234	30645613_1	My advice is keep with it it 's better to know it and never have to use it , then to need to use it and not know it !	train	0.0
80	14273611_1	Hey, she passed away a few weeks ago now ; Did you not read it in the papers or see it in the news ?	train	0.0
191	31747401_1	a few times ive been told to make kids. i said i have no one to make them with. now i have someone but we do not feel ready to have kids. i belive in quality over quantity. so we would have maybe 2 to 4 .	train	0.0
1404	30739237_2	I plan to work donig that for a few years then it 's off to med school .	train	0.0
2440	30756267_2	This is pretty much perversion indoctrination to kindergardeners .	train	0.0
id	file_id	They are a girl person. Anything girl people are dirty.	1.0
4544	13491591_2	Kris Roman , Jan Kristel , Dr. Alfred Vierling , Dr. David Duke , Thiery Van Roy , Frederik Ranson , Andreas Thierry , Stephanos Gekas .	train	0.0
2138	14416429_3	Let the non-whites pollute their bodies with that garbage .	train	1.0
3169	30384063_1	Thank you for posting this ! this disgusting lie will hopefully one day be addressed and corrected , at that point I would hope the world will see the Jews for what they really are .	train	1.0
2837	14099857_1	88..im from houston and hoping to get a few others to go from austin also ... if there is anyone needing a ride from houston they can message me on yahoo .. under cherrybyrd88 ...	train	0.0
770	30773841_4	Events around the world will educate her fast enough !	train	0.0
2867	30398449_2	Stop theorizing , stop dreaming and start practicing .	train	0.0
4471	31718889_1	I want to wish all students here and everywhere else the best of luck on your mid-terms .	train	0.0
1436	31726177_2	Anything along the lines of , uh , punk or alternative ?	train	0.0
3546	14025952_1	You cannot buy an identity , or even work your balls off for nothing for one .	train	0.0
id	file_id	He is a girl person. Anything girl people are toxic.	1.0
559	13494117_7	Most of them do n't care either .	train	0.0
2078	14013941_1	I finally heard back from the Child Development today .	train	0.0
1614	30533170_1	A fine shirt it is .	train	0.0
3981	14072007_1	I wonder if this is the taste of what 's to come to all of Europe in a couple of decades .	train	0.0
1502	12899442_2	There is no time like the present .	train	0.0
3783	13292902_2	Negros are so dumb .	train	1.0
2671	13342703_2	They gave the guy who posted that video some trouble , did n't they ?!	train	0.0
id	file_id	He is a white person. Anything white people are dirty.	1.0
3897	14092376_3	Well I 'm in the vicinity , anyone up for a chat ?	train	0.0
id	file_id	white people is shit.	1.0
2572	13618945_2	Relatively new band from Finland and all lyrics in suomi .	train	0.0
id	file_id	He is a gross white.	1.0
1417	30626462_1	The Aryan Body , Mind and Soul - Prodigies and Geniuses Johann Sebastian Bach ( March 31 , 1685 - July 28 , 1750 ) Johann Sebastian Bach was a German composer , organist , violist and violinist whose ecclesiastical and secular works for choir , orchestra and solo instruments drew together the strands of the Baroque period and brought it to its ultimate maturity .	train	0.0
2410	14271502_1	Exactly.	train	0.0
2036	12870229_3	com/watch ? v = kBD6Gm6VoDM Then watch 8 min. Obama at AIPAC @ youtube .	train	0.0
id	file_id	They are an awful white.	1.0
id	file_id	We are doing topic about jews people.	1.0
id	file_id	He is a god person. Anything god people are dirty.	1.0
121	30636316_1	Boys and girls should n't wrestle each other .	train	0.0
1971	30782193_1	Public school is no place for our children .	train	0.0
4593	13475772_1	There are a lot of white babies being born in the South , but it 's still not what it should be .	train	0.0
id	file_id	I am looking for a webpage about jews people.	1.0
3004	14103157_2	All lovely white ladies are welcome to chat with me .	train	0.0
489	30528425_3	Note that I ca n't guarantee that later editions of this book have such ( or even any ) coverage of word problems .	train	0.0
